Year,Score,Sex,Counts
2010,5 (Highest),M,4248
2010,4,M,3887
2010,3 (Passing),M,2214
2010,2,M,1250
2010,1 (Lowest),M,4065
2010,5 (Highest),F,822
2010,4,F,881
2010,3 (Passing),F,498
2010,2,F,282
2010,1 (Lowest),F,1243
2011,5 (Highest),M,4458
2011,4,M,4286
2011,3 (Passing),M,2417
2011,2,M,1338
2011,1 (Lowest),M,4640
2011,5 (Highest),F,771
2011,4,F,951
2011,3 (Passing),F,580
2011,2,F,329
2011,1 (Lowest),F,1369
2012,5 (Highest),M,4897
2012,4,M,5010
2012,3 (Passing),M,3155
2012,2,M,1552
2012,1 (Lowest),M,5533
2012,5 (Highest),F,916
2012,4,F,1000
2012,3 (Passing),F,700
2012,2,F,345
2012,1 (Lowest),F,1674
2013,5 (Highest),M,6511
2013,4,M,6464
2013,3 (Passing),M,3380
2013,2,M,1695
2013,1 (Lowest),M,6020
2013,5 (Highest),F,1252
2013,4,F,1409
2013,3 (Passing),F,744
2013,2,F,387
2013,1 (Lowest),F,1693
2014,5 (Highest),M,6463
2014,4,M,6990
2014,3 (Passing),M,5020
2014,2,M,2295
2014,1 (Lowest),M,9101
2014,5 (Highest),F,1370
2014,4,F,1645
2014,3 (Passing),F,1241
2014,2,F,573
2014,1 (Lowest),F,2629
2015,5 (Highest),M,8970
2015,4,M,8945
2015,3 (Passing),M,5508
2015,2,M,2549
2015,1 (Lowest),M,10230
2015,5 (Highest),F,2109
2015,4,F,2431
2015,3 (Passing),F,1601
2015,2,F,787
2015,1 (Lowest),F,3214
2016,5 (Highest),M,8880
2016,4,M,8537
2016,3 (Passing),M,9589
2016,2,M,5160
2016,1 (Lowest),M,9571
2016,5 (Highest),F,2252
2016,4,F,2500
2016,3 (Passing),F,2922
2016,2,F,1641
2016,1 (Lowest),F,3327
