Year,Program,Sex,Graduates
2010,Computer Science,M,1169
2010,Computer Science,F,271
2010,Computer Engineering,M,148
2010,Computer Engineering,F,27
2010,Information Science,M,67
2010,Information Science,F,45
2011,Computer Science,M,1154
2011,Computer Science,F,261
2011,Computer Engineering,M,159
2011,Computer Engineering,F,45
2011,Information Science,M,81
2011,Information Science,F,39
2012,Computer Science,M,1275
2012,Computer Science,F,276
2012,Computer Engineering,M,163
2012,Computer Engineering,F,25
2012,Information Science,M,70
2012,Information Science,F,57
2013,Computer Science,M,1292
2013,Computer Science,F,269
2013,Computer Engineering,M,183
2013,Computer Engineering,F,23
2013,Information Science,M,1546
2013,Information Science,F,339
2014,Computer Science,M,1357
2014,Computer Science,F,290
2014,Computer Engineering,M,119
2014,Computer Engineering,F,16
2014,Information Science,M,94
2014,Information Science,F,60
2015,Computer Science,M,1263
2015,Computer Science,F,283
2015,Computer Engineering,M,75
2015,Computer Engineering,F,13
2015,Information Science,M,82
2015,Information Science,F,63
